"Sample_ID","total_sites","homozygous_sites","heterozygous_sites","missing_sites","prop_homozygous","prop_heterozygous","prop_missing"
"CU0009",983,874,4,105,0.88911495422177,0.00406917599186165,0.106815869786368
"CU0010",983,903,2,78,0.918616480162767,0.00203458799593082,0.0793489318413021
"CU0011",983,879,2,102,0.894201424211597,0.00203458799593082,0.103763987792472
"CU0012",983,902,4,77,0.917599186164802,0.00406917599186165,0.0783316378433367
"CU0013",983,830,2,151,0.844354018311292,0.00203458799593082,0.153611393692777
"CU0014",983,866,2,115,0.880976602238047,0.00203458799593082,0.116988809766022
"CU0015",983,853,1,129,0.867751780264496,0.00101729399796541,0.131230925737538
"CU0016",983,839,4,140,0.853509664292981,0.00406917599186165,0.142421159715158
"CU0017",983,910,3,70,0.925737538148525,0.00305188199389624,0.0712105798575788
"CU0018",983,901,3,79,0.916581892166836,0.00305188199389624,0.0803662258392675
"CU0019",983,859,2,122,0.873855544252289,0.00203458799593082,0.12410986775178
"CU0020",983,909,2,72,0.92472024415056,0.00203458799593082,0.0732451678535097
"CU0021",983,858,2,123,0.872838250254323,0.00203458799593082,0.125127161749746
"CU0022",983,912,1,70,0.927772126144456,0.00101729399796541,0.0712105798575788
"CU0023",983,816,1,166,0.830111902339776,0.00101729399796541,0.168870803662258
"CU0024",983,862,2,119,0.876907426246185,0.00203458799593082,0.121057985757884
"CU0025",983,909,1,73,0.92472024415056,0.00101729399796541,0.0742624618514751
"CU0026",983,909,2,72,0.92472024415056,0.00203458799593082,0.0732451678535097
"CU0027",983,902,3,78,0.917599186164802,0.00305188199389624,0.0793489318413021
"CU0028",983,587,2,394,0.597151576805697,0.00203458799593082,0.400813835198372
"CU0029",983,873,5,105,0.888097660223805,0.00508646998982706,0.106815869786368
"CU0030",983,812,1,170,0.826042726347915,0.00101729399796541,0.17293997965412
"CU0031",983,903,3,77,0.918616480162767,0.00305188199389624,0.0783316378433367
"CU0032",983,905,4,74,0.920651068158698,0.00406917599186165,0.0752797558494405
"CU0033",983,853,0,130,0.867751780264496,0,0.132248219735504
"CU0034",983,904,3,76,0.919633774160732,0.00305188199389624,0.0773143438453713
"CU0035",983,857,1,125,0.871820956256358,0.00101729399796541,0.127161749745677
"CU0036",983,906,1,76,0.921668362156663,0.00101729399796541,0.0773143438453713
"CU0037",983,862,2,119,0.876907426246185,0.00203458799593082,0.121057985757884
"CU0038",983,880,1,102,0.895218718209563,0.00101729399796541,0.103763987792472
"CU0039",983,877,2,104,0.892166836215666,0.00203458799593082,0.105798575788403
"CU0040",983,856,4,123,0.870803662258393,0.00406917599186165,0.125127161749746
"CU0041",983,898,3,82,0.91353001017294,0.00305188199389624,0.0834181078331638
"CU0042",983,879,1,103,0.894201424211597,0.00101729399796541,0.104781281790437
"CU0043",983,883,3,97,0.898270600203459,0.00305188199389624,0.098677517802645
"CU0044",983,866,2,115,0.880976602238047,0.00203458799593082,0.116988809766022
"CU0045",983,850,1,132,0.8646998982706,0.00101729399796541,0.134282807731434
"CU0046",983,871,7,105,0.886063072227874,0.00712105798575788,0.106815869786368
"CU0047",983,888,2,93,0.903357070193286,0.00203458799593082,0.0946083418107833
"CU0048",983,907,2,74,0.922685656154629,0.00203458799593082,0.0752797558494405
"CU0049",983,901,1,81,0.916581892166836,0.00101729399796541,0.0824008138351984
"CU0050",983,906,3,74,0.921668362156663,0.00305188199389624,0.0752797558494405
"CU0051",983,897,9,77,0.912512716174975,0.00915564598168871,0.0783316378433367
